ts,mode,path,ok,verify_ms,rollback_ms
1759910185.296512,watch,ckpt/last-good.pt,True,48.0,0.0
1759910185.348091,watch,ckpt/epoch_1.pt,True,51.2,0.0
1759910233.711945,watch,ckpt/last-good.pt,True,59.1,0.0
1759910233.770568,watch,ckpt/epoch_2.pt,True,58.2,0.0
1759910264.0810602,watch,ckpt/epoch_1.pt,False,89.2,79.2
1759910265.2057788,watch,ckpt/epoch_1.pt,False,57.3,60.5
1759910293.391017,watch,ckpt/epoch_3.pt,False,0.5,56.3
1759910294.443561,watch,ckpt/last-good.pt,True,48.7,0.0
1759910294.491565,watch,ckpt/epoch_3.pt,True,47.7,0.0
1759910529.5559602,watch,ckpt/epoch_2.pt,False,1.1,79.1
1759910530.665189,watch,ckpt/epoch_2.pt,False,54.0,48.3
1759910544.887541,watch,ckpt/epoch_1.pt,False,90.6,66.4
1759910546.004565,watch,ckpt/epoch_1.pt,False,67.2,42.8
1759910593.7803679,single,ckpt/epoch_2.pt,False,53.3,71.3
1759910946.0900989,watch,ckpt/last-good.pt,True,66.4,0.0
1759910946.154318,watch,ckpt/epoch_1.pt,True,63.2,0.0
1759910946.2096572,watch,ckpt/epoch_3.pt,True,55.1,0.0
1759910946.265852,watch,ckpt/epoch_2.pt,True,55.9,0.0
1759911044.1438131,watch,ckpt/last-good.pt,True,55.2,0.0
1759911044.207119,watch,ckpt/epoch_1.pt,True,62.9,0.0
1759911044.264865,watch,ckpt/epoch_3.pt,True,57.5,0.0
1759911044.3267882,watch,ckpt/epoch_2.pt,True,61.6,0.0
